Id	Comment	Specie	Fragment	Dataset	Isospecies	SD	Time
		OA	1,2,3,4	Sample_1	M0	0.02	
		OA	1,2,3,4	Sample_1	M1	0.02	
		OA	1,2,3,4	Sample_1	M2	0.02	
		OA	1,2,3,4	Sample_1	M3	0.02	
		OA	1,2,3,4	Sample_1	M4	0.02	
		OA	1,2,3,4	Sample_2	M0	0.02	
		OA	1,2,3,4	Sample_2	M1	0.02	
		OA	1,2,3,4	Sample_2	M2	0.02	
		OA	1,2,3,4	Sample_2	M3	0.02	
		OA	1,2,3,4	Sample_2	M4	0.02	
		OA	1,2,3,4	Sample_3	M0	0.02	
		OA	1,2,3,4	Sample_3	M1	0.02	
		OA	1,2,3,4	Sample_3	M2	0.02	
		OA	1,2,3,4	Sample_3	M3	0.02	
		OA	1,2,3,4	Sample_3	M4	0.02	
		aKG	1,2,3,4,5	Sample_1	M0	0.02	
		aKG	1,2,3,4,5	Sample_1	M1	0.02	
		aKG	1,2,3,4,5	Sample_1	M2	0.02	
		aKG	1,2,3,4,5	Sample_1	M3	0.02	
		aKG	1,2,3,4,5	Sample_1	M4	0.02	
		aKG	1,2,3,4,5	Sample_1	M5	0.02	
		aKG	1,2,3,4,5	Sample_2	M0	0.02	
		aKG	1,2,3,4,5	Sample_2	M1	0.02	
		aKG	1,2,3,4,5	Sample_2	M2	0.02	
		aKG	1,2,3,4,5	Sample_2	M3	0.02	
		aKG	1,2,3,4,5	Sample_2	M4	0.02	
		aKG	1,2,3,4,5	Sample_2	M5	0.02	
		aKG	1,2,3,4,5	Sample_3	M0	0.02	
		aKG	1,2,3,4,5	Sample_3	M1	0.02	
		aKG	1,2,3,4,5	Sample_3	M2	0.02	
		aKG	1,2,3,4,5	Sample_3	M3	0.02	
		aKG	1,2,3,4,5	Sample_3	M4	0.02	
		aKG	1,2,3,4,5	Sample_3	M5	0.02	
		G3P	1,2,3	Sample_1	M0	0.02	
		G3P	1,2,3	Sample_1	M1	0.02	
		G3P	1,2,3	Sample_1	M2	0.02	
		G3P	1,2,3	Sample_1	M3	0.02	
		G3P	1,2,3	Sample_2	M0	0.02	
		G3P	1,2,3	Sample_2	M1	0.02	
		G3P	1,2,3	Sample_2	M2	0.02	
		G3P	1,2,3	Sample_2	M3	0.02	
		G3P	1,2,3	Sample_3	M0	0.02	
		G3P	1,2,3	Sample_3	M1	0.02	
		G3P	1,2,3	Sample_3	M2	0.02	
		G3P	1,2,3	Sample_3	M3	0.02	
		2/3PG	1,2,3	Sample_1	M0	0.02	
		2/3PG	1,2,3	Sample_1	M1	0.02	
		2/3PG	1,2,3	Sample_1	M2	0.02	
		2/3PG	1,2,3	Sample_1	M3	0.02	
		2/3PG	1,2,3	Sample_2	M0	0.02	
		2/3PG	1,2,3	Sample_2	M1	0.02	
		2/3PG	1,2,3	Sample_2	M2	0.02	
		2/3PG	1,2,3	Sample_2	M3	0.02	
		2/3PG	1,2,3	Sample_3	M0	0.02	
		2/3PG	1,2,3	Sample_3	M1	0.02	
		2/3PG	1,2,3	Sample_3	M2	0.02	
		2/3PG	1,2,3	Sample_3	M3	0.02	
		E4P	1,2,3,4	Sample_1	M0	0.02	
		E4P	1,2,3,4	Sample_1	M1	0.02	
		E4P	1,2,3,4	Sample_1	M2	0.02	
		E4P	1,2,3,4	Sample_1	M3	0.02	
		E4P	1,2,3,4	Sample_1	M4	0.02	
		E4P	1,2,3,4	Sample_2	M0	0.02	
		E4P	1,2,3,4	Sample_2	M1	0.02	
		E4P	1,2,3,4	Sample_2	M2	0.02	
		E4P	1,2,3,4	Sample_2	M3	0.02	
		E4P	1,2,3,4	Sample_2	M4	0.02	
		E4P	1,2,3,4	Sample_3	M0	0.02	
		E4P	1,2,3,4	Sample_3	M1	0.02	
		E4P	1,2,3,4	Sample_3	M2	0.02	
		E4P	1,2,3,4	Sample_3	M3	0.02	
		E4P	1,2,3,4	Sample_3	M4	0.02	
		Fum	1,2,3,4	Sample_3	M0	0.02	
		Fum	1,2,3,4	Sample_3	M1	0.02	
		Fum	1,2,3,4	Sample_3	M2	0.02	
		Fum	1,2,3,4	Sample_3	M3	0.02	
		Fum	1,2,3,4	Sample_3	M4	0.02	
		Fum	0,1	Sample_1	M0	0.02	
		Fum	0,1	Sample_1	M1	0.02	
		Fum	3,4	Sample_1	M2	0.02	
		Fum	3,4	Sample_1	M3	0.02	
		Fum	3,4	Sample_1	M4	0.02	
		Fum	0,1	Sample_2	M0	0.02	
		Fum	0,1	Sample_2	M1	0.02	
		Fum	3,4	Sample_2	M2	0.02	
		Fum	3,4	Sample_2	M3	0.02	
		Fum	3,4	Sample_2	M4	0.02	
